City,Counties
Reynolds,Taylor
Rhine,Dodge
Riceboro,Liberty
Richland,Stewart
Richmond Hill,Bryan
Riddleville,Washington
Rincon,Effingham
Ringgold,Catoosa
Riverdale,Clayton
Riverside,Colquitt
Roberta,Crawford
Rochelle,Wilcox
Rockmart,Polk
Rocky Ford,Screven
Rome,Floyd
Rossville,Walker
Roswell,Fulton
Royston,Franklin
Rutledge,Morgan
Sale City,Mitchell
Sandersville,Washington
Sandy Springs,Fulton
Santa Claus,Toombs
Sardis,Burke
Sasser,Terrell
Savannah,Chatham
Scotland,Telfair
Screven,Wayne
Senoia,Coweta
Shady Dale,Jasper
Sharon,Taliaferro
Sharpsburg,Coweta
Shellman,Randolph
Shiloh,Harris
Siloam,Greene
Sky Valley,Rabun
Smithville,Lee
Smyrna,Cobb
Snellville,Gwinnett
Social Circle,Walton
Soperton,Treutlen
Sparks,Cook
Sparta,Hancock
Springfield,Effingham
St. Marys,Camden
Stapleton,Jefferson
Statenville,Echols
Statesboro,Bulloch
Statham,Barrow
Stillmore,Emanuel
Stockbridge,Henry
Stone Mountain,DeKalb
Sugar Hill,Gwinnett
Summerville,Chattooga
Sumner,Worth
Surrency,Appling
Suwanee,Gwinnett
Swainsboro,Emanuel
Sycamore,Turner
Sylvania,Screven
Sylvester,Worth
Talbotton,Talbot
Talking Rock,Pickens
Tallapoosa,Haralson
Tallulah Falls,Habersham
Talmo,Jackson
Tarrytown,Montgomery
Taylorsville,Bartow
Temple,Carroll
Tennille,Washington
Thomaston,Upson
Thomasville,Thomas
Thomson,McDuffie
Thunderbolt,Chatham
Tifton,Tift
Tignall,Wilkes
Toccoa,Stephens
Toomsboro,Wilkinson
Trenton,Dade
Trion,Chattooga
Tunnel Hill,Whitfield
Turin,Coweta
Twin City,Emanuel
Ty Ty,Tift
Tybee Island,Chatham
Tyrone,Fayette
Unadilla,Dooly
Union City,Fulton
Union Point,Greene
Uvalda,Montgomery
Valdosta,Lowndes
Varnell,Whitfield
Vernonburg,Chatham
Vidalia,Toombs
Vienna,Dooly
Villa Rica,Carroll
Waco,Haralson
Wadley,Jefferson
Waleska,Cherokee
Walnut Grove,Walton
Walthourville,Liberty
Warm Springs,Meriwether
Warner Robins,Houston
Warrenton,Warren
Warwick,Worth
Washington,Wilkes
Watkinsville,Oconee
Waverly Hall,Harris
Waycross,Ware
Waynesboro,Burke
West Point,Troup
Whigham,Grady
White,Bartow
White Plains,Greene
Whitesburg,Carroll
Willacoochee,Atkinson
Williamson,Pike
Winder,Barrow
Winterville,Athens-Clarke
Woodbine,Camden
Woodbury,Meriwether
Woodland,Talbot
Woodstock,Cherokee
Woodville,Greene
Woolsey,Fayette
Wrens,Jefferson
Wrightsville,Johnson
Yatesville,Upson
Young Harris,Towns
Zebulon,Pike
