Deaths , Death Rate  by Residence, Drug Overdoses
		1999	1999	2000	2000	2001	2001	2002	2002	2003	2003	2004	2004	2005	2005	2006	2006	2007	2007	2008	2008	2009	2009	2010	2010	2011	2011	2012	2012	2013	2013	2014	2014	2015	2015	2016	2016	Selected Years Total	Selected Years Total
Crawford	 	0.0 	1 	* 	1 	* 	 	0.0 	1 	* 	2 	* 	1 	* 	2 	* 	2 	* 	1 	* 	1 	* 	3 	* 	6 	47.7 	2 	* 	1 	* 	1 	* 	 	0.0 	3 	* 	28 	12.3 	

Crisp	1 	* 	2 	* 	 	0.0 	 	0.0 	2 	* 	1 	* 	 	0.0 	2 	* 	3 	* 	3 	* 	 	0.0 	2 	* 	1 	* 	3 	* 	1 	* 	2 	* 	 	0.0 	1 	* 	24 	5.8 	

Dade	 	0.0 	 	0.0 	2 	* 	 	0.0 	 	0.0 	1 	* 	2 	* 	1 	* 	 	0.0 	4 	* 	 	0.0 	3 	* 	2 	* 	3 	* 	 	0.0 	2 	* 	1 	* 	 	0.0 	21 	7.2 	

Dawson	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	2 	* 	1 	* 	5 	24.2 	3 	* 	2 	* 	3 	* 	4 	* 	2 	* 	6 	26.8 	3 	* 	4 	* 	7 	30.0 	5 	21.2 	48 	13.0 	

Decatur	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	2 	* 	1 	* 	1 	* 	2 	* 	2 	* 	2 	* 	1 	* 	 	0.0 	 	0.0 	4 	* 	2 	* 	3 	* 	3 	* 	23 	4.6 	

Dodge	 	0.0 	1 	* 	2 	* 	 	0.0 	2 	* 	3 	* 	3 	* 	2 	* 	5 	23.6 	5 	23.4 	3 	* 	2 	* 	2 	* 	4 	* 	1 	* 	 	0.0 	4 	* 	4 	* 	43 	11.5 	

Dooly	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	2 	* 	1 	* 	2 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	1 	* 	10 	4.1 	

Early	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	2 	* 	6 	2.9 	

Echols	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	4 	* 	

Elbert	2 	* 	4 	* 	1 	* 	1 	* 	 	0.0 	4 	* 	4 	* 	3 	* 	2 	* 	7 	34.2 	2 	* 	1 	* 	3 	* 	1 	* 	5 	25.5 	4 	* 	4 	* 	2 	* 	50 	13.8 	

Emanuel	 	0.0 	1 	* 	1 	* 	1 	* 	2 	* 	 	0.0 	 	0.0 	 	0.0 	1 	* 	4 	* 	1 	* 	2 	* 	 	0.0 	2 	* 	6 	26.2 	3 	* 	1 	* 	1 	* 	26 	6.5 	

Evans	 	0.0 	 	0.0 	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	1 	* 	8 	4.1 	

Fannin	2 	* 	 	0.0 	2 	* 	6 	28.5 	2 	* 	3 	* 	5 	22.5 	3 	* 	8 	34.5 	5 	21.4 	7 	29.6 	12 	50.7 	1 	* 	2 	* 	9 	37.9 	6 	25.3 	5 	20.6 	7 	28.1 	85 	20.9 	

Franklin	1 	* 	 	0.0 	1 	* 	4 	* 	 	0.0 	4 	* 	3 	* 	2 	* 	2 	* 	2 	* 	7 	31.6 	6 	27.2 	6 	27.4 	4 	* 	4 	* 	8 	35.9 	7 	31.4 	5 	22.4 	66 	16.9 	

Gilmer	 	0.0 	2 	* 	4 	* 	1 	* 	2 	* 	4 	* 	7 	26.1 	2 	* 	2 	* 	3 	* 	8 	28.4 	1 	* 	3 	* 	5 	17.7 	4 	* 	5 	17.3 	3 	* 	5 	16.8 	61 	12.5 	

Glascock	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	2 	* 	1 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	5 	9.6 	

Grady	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	2 	* 	 	0.0 	3 	* 	1 	* 	4 	* 	1 	* 	 	0.0 	1 	* 	 	0.0 	1 	* 	2 	* 	1 	* 	18 	4.1 	

Greene	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	2 	* 	1 	* 	 	0.0 	2 	* 	2 	* 	1 	* 	3 	* 	1 	* 	2 	* 	1 	* 	17 	6.0 	

Hancock	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	3 	* 	

Haralson	1 	* 	4 	* 	4 	* 	10 	37.5 	2 	* 	1 	* 	6 	21.4 	4 	* 	12 	42.0 	3 	* 	12 	41.7 	13 	45.2 	7 	24.4 	8 	28.2 	5 	17.5 	9 	31.4 	10 	34.7 	9 	31.0 	120 	23.9 	

Harris	1 	* 	1 	* 	1 	* 	2 	* 	3 	* 	1 	* 	5 	17.7 	1 	* 	1 	* 	1 	* 	6 	19.1 	3 	* 	1 	* 	3 	* 	6 	18.4 	2 	* 	2 	* 	9 	26.7 	49 	9.2 	

Hart	1 	* 	3 	* 	5 	21.7 	2 	* 	 	0.0 	4 	* 	5 	20.5 	 	0.0 	2 	* 	6 	23.9 	2 	* 	3 	* 	4 	* 	4 	* 	4 	* 	2 	* 	2 	* 	2 	* 	51 	11.5 	

Heard	3 	* 	 	0.0 	1 	* 	1 	* 	2 	* 	 	0.0 	 	0.0 	 	0.0 	3 	* 	3 	* 	3 	* 	2 	* 	2 	* 	1 	* 	1 	* 	1 	* 	 	0.0 	3 	* 	26 	12.6 	

Irwin	1 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	1 	* 	2 	* 	 	0.0 	1 	* 	1 	* 	1 	* 	10 	5.8 	

Jasper	 	0.0 	1 	* 	2 	* 	2 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	2 	* 	2 	* 	 	0.0 	1 	* 	3 	* 	1 	* 	3 	* 	2 	* 	1 	* 	1 	* 	22 	9.4 	

Jeff Davis	1 	* 	 	0.0 	1 	* 	2 	* 	1 	* 	2 	* 	2 	* 	7 	49.9 	1 	* 	2 	* 	4 	* 	7 	46.4 	1 	* 	6 	39.6 	6 	40.0 	4 	* 	1 	* 	6 	40.3 	54 	21.2 	

Jefferson	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	2 	* 	 	0.0 	4 	* 	2 	* 	1 	* 	 	0.0 	3 	* 	2 	* 	1 	* 	2 	* 	19 	6.3 	

Jenkins	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	1 	* 	1 	* 	 	0.0 	1 	* 	2 	* 	1 	* 	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	1 	* 	11 	7.1 	

Johnson	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	3 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	 	0.0 	 	0.0 	2 	* 	1 	* 	 	0.0 	10 	5.8 	

Jones	 	0.0 	2 	* 	2 	* 	8 	32.1 	1 	* 	4 	* 	4 	* 	4 	* 	3 	* 	3 	* 	4 	* 	1 	* 	5 	17.5 	2 	* 	5 	17.5 	6 	20.8 	3 	* 	3 	* 	60 	12.3 	

Lamar	3 	* 	1 	* 	3 	* 	1 	* 	3 	* 	1 	* 	2 	* 	2 	* 	2 	* 	3 	* 	1 	* 	5 	27.3 	4 	* 	2 	* 	1 	* 	2 	* 	6 	33.0 	3 	* 	45 	14.4 	

Lanier	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	2 	* 	 	0.0 	1 	* 	1 	* 	1 	* 	 	0.0 	2 	* 	7 	4.3 	

Lee	 	0.0 	2 	* 	 	0.0 	2 	* 	2 	* 	3 	* 	2 	* 	1 	* 	3 	* 	2 	* 	3 	* 	2 	* 	 	0.0 	4 	* 	4 	* 	2 	* 	3 	* 	2 	* 	37 	7.5 	

Lincoln	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	 	0.0 	 	0.0 	1 	* 	2 	* 	1 	* 	1 	* 	1 	* 	2 	* 	1 	* 	 	0.0 	 	0.0 	1 	* 	2 	* 	14 	9.6 	

Long	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	3 	* 	2 	* 	1 	* 	1 	* 	 	0.0 	3 	* 	2 	* 	2 	* 	2 	* 	17 	7.0 	

Lumpkin	 	0.0 	1 	* 	2 	* 	2 	* 	 	0.0 	 	0.0 	3 	* 	 	0.0 	4 	* 	3 	* 	7 	23.6 	4 	* 	4 	* 	2 	* 	10 	32.3 	3 	* 	3 	* 	8 	25.4 	56 	11.4 	

McDuffie	1 	* 	1 	* 	 	0.0 	 	0.0 	1 	* 	1 	* 	1 	* 	2 	* 	2 	* 	2 	* 	2 	* 	3 	* 	 	0.0 	3 	* 	2 	* 	1 	* 	 	0.0 	1 	* 	23 	5.9 	

McIntosh	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	2 	* 	2 	* 	1 	* 	1 	* 	3 	* 	1 	* 	1 	* 	2 	* 	 	0.0 	2 	* 	2 	* 	4 	* 	21 	9.0 	

Macon	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	1 	* 	2 	* 	3 	* 	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	1 	* 	13 	5.1 	

Madison	 	0.0 	2 	* 	7 	26.9 	6 	22.6 	4 	* 	3 	* 	3 	* 	6 	21.9 	1 	* 	5 	18.0 	6 	21.4 	4 	* 	6 	21.5 	5 	17.9 	7 	24.9 	12 	42.4 	3 	* 	4 	* 	84 	17.0 	

Marion	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	2 	* 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	1 	* 	1 	* 	 	0.0 	1 	* 	6 	4.1 	

Meriwether	1 	* 	 	0.0 	 	0.0 	3 	* 	1 	* 	2 	* 	1 	* 	2 	* 	6 	26.7 	3 	* 	1 	* 	3 	* 	1 	* 	5 	23.5 	3 	* 	5 	23.6 	5 	23.6 	 	0.0 	42 	10.6 	

Miller	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	1 	* 	1 	* 	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	6 	5.4 	

Mitchell	 	0.0 	1 	* 	 	0.0 	2 	* 	 	0.0 	2 	* 	1 	* 	 	0.0 	3 	* 	1 	* 	1 	* 	2 	* 	1 	* 	 	0.0 	3 	* 	3 	* 	4 	* 	 	0.0 	24 	5.7 	

Monroe	 	0.0 	1 	* 	3 	* 	2 	* 	5 	21.3 	1 	* 	1 	* 	4 	* 	2 	* 	1 	* 	2 	* 	1 	* 	3 	* 	4 	* 	3 	* 	6 	22.2 	4 	* 	4 	* 	47 	10.4 	

Montgomery	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	2 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	3 	* 	1 	* 	 	0.0 	1 	* 	1 	* 	 	0.0 	11 	6.9 	

Morgan	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	2 	* 	1 	* 	1 	* 	1 	* 	1 	* 	3 	* 	1 	* 	1 	* 	4 	* 	1 	* 	1 	* 	19 	6.1 	

Oconee	 	0.0 	 	0.0 	 	0.0 	 	0.0 	2 	* 	3 	* 	1 	* 	6 	20.2 	 	0.0 	2 	* 	2 	* 	3 	* 	8 	24.0 	4 	* 	4 	* 	6 	17.1 	3 	* 	 	0.0 	44 	7.9 	

Oglethorpe	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	 	0.0 	 	0.0 	6 	41.7 	1 	* 	1 	* 	2 	* 	4 	* 	5 	34.2 	 	0.0 	2 	* 	4 	* 	 	0.0 	27 	10.7 	

Peach	 	0.0 	2 	* 	2 	* 	4 	* 	 	0.0 	1 	* 	2 	* 	4 	* 	 	0.0 	3 	* 	3 	* 	5 	18.0 	2 	* 	 	0.0 	4 	* 	 	0.0 	4 	* 	1 	* 	37 	7.9 	

Pickens	1 	* 	2 	* 	4 	* 	4 	* 	3 	* 	3 	* 	3 	* 	1 	* 	3 	* 	3 	* 	4 	* 	10 	34.0 	2 	* 	4 	* 	3 	* 	6 	20.0 	3 	* 	5 	16.2 	64 	12.8 	

Pierce	1 	* 	1 	* 	2 	* 	1 	* 	2 	* 	2 	* 	3 	* 	2 	* 	2 	* 	4 	* 	3 	* 	1 	* 	2 	* 	1 	* 	2 	* 	7 	36.9 	1 	* 	5 	26.1 	42 	13.2 	

Pike	3 	* 	1 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	1 	* 	 	0.0 	2 	* 	 	0.0 	1 	* 	1 	* 	3 	* 	 	0.0 	1 	* 	1 	* 	2 	* 	1 	* 	18 	6.1 	

Pulaski	1 	* 	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	2 	* 	2 	* 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	4 	* 	 	0.0 	 	0.0 	4 	* 	16 	8.1 	

Putnam	 	0.0 	 	0.0 	1 	* 	3 	* 	2 	* 	1 	* 	1 	* 	4 	* 	 	0.0 	 	0.0 	3 	* 	2 	* 	2 	* 	4 	* 	7 	32.8 	2 	* 	3 	* 	1 	* 	36 	9.8 	

Quitman	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	3 	* 	

Rabun	1 	* 	1 	* 	1 	* 	4 	* 	2 	* 	4 	* 	 	0.0 	1 	* 	4 	* 	2 	* 	6 	36.8 	2 	* 	4 	* 	1 	* 	3 	* 	5 	30.8 	3 	* 	2 	* 	46 	16.0 	

Randolph	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	

Schley	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	2 	* 	

Screven	 	0.0 	1 	* 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	2 	* 	3 	* 	 	0.0 	 	0.0 	3 	* 	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	1 	* 	13 	4.9 	

Seminole	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	3 	* 	 	0.0 	3 	* 	2 	* 	 	0.0 	 	0.0 	8 	5.0 	

Stephens	1 	* 	1 	* 	3 	* 	2 	* 	3 	* 	3 	* 	2 	* 	4 	* 	8 	31.2 	6 	23.1 	6 	23.0 	6 	22.9 	7 	27.0 	7 	27.0 	3 	* 	7 	27.5 	6 	23.5 	5 	19.4 	80 	17.3 	

Stewart	 	0.0 	 	0.0 	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	2 	* 	7 	6.8 	

Sumter	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	2 	* 	1 	* 	 	0.0 	2 	* 	 	0.0 	 	0.0 	1 	* 	 	0.0 	3 	* 	1 	* 	2 	* 	1 	* 	1 	* 	16 	2.7 	

Talbot	 	0.0 	2 	* 	 	0.0 	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	8 	6.7 	

Taliaferro	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	

Tattnall	2 	* 	 	0.0 	1 	* 	1 	* 	2 	* 	3 	* 	2 	* 	3 	* 	1 	* 	4 	* 	2 	* 	4 	* 	3 	* 	 	0.0 	1 	* 	3 	* 	6 	23.8 	3 	* 	41 	9.5 	

Taylor	 	0.0 	2 	* 	 	0.0 	 	0.0 	1 	* 	 	0.0 	2 	* 	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	3 	* 	2 	* 	 	0.0 	1 	* 	14 	8.9 	

Telfair	 	0.0 	2 	* 	2 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	3 	* 	1 	* 	2 	* 	1 	* 	 	0.0 	2 	* 	1 	* 	 	0.0 	2 	* 	17 	6.3 	

Terrell	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	2 	* 	

Toombs	 	0.0 	2 	* 	 	0.0 	1 	* 	1 	* 	2 	* 	2 	* 	3 	* 	1 	* 	1 	* 	3 	* 	5 	18.3 	4 	* 	1 	* 	3 	* 	7 	25.7 	3 	* 	1 	* 	40 	8.3 	

Towns	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	2 	* 	 	0.0 	3 	* 	2 	* 	4 	* 	2 	* 	4 	* 	2 	* 	3 	* 	3 	* 	1 	* 	2 	* 	30 	16.2 	

Treutlen	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	2 	* 	

Turner	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	2 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	2 	* 	2 	* 	1 	* 	9 	5.6 	

Twiggs	 	0.0 	 	0.0 	 	0.0 	 	0.0 	2 	* 	1 	* 	1 	* 	 	0.0 	2 	* 	 	0.0 	 	0.0 	2 	* 	1 	* 	1 	* 	3 	* 	 	0.0 	 	0.0 	2 	* 	15 	8.8 	

Union	1 	* 	1 	* 	1 	* 	1 	* 	1 	* 	1 	* 	1 	* 	5 	24.4 	1 	* 	3 	* 	 	0.0 	3 	* 	3 	* 	4 	* 	4 	* 	2 	* 	4 	* 	5 	21.8 	41 	11.2 	

Upson	 	0.0 	 	0.0 	2 	* 	1 	* 	2 	* 	2 	* 	1 	* 	3 	* 	5 	18.2 	2 	* 	5 	18.3 	3 	* 	3 	* 	7 	26.3 	7 	26.3 	6 	22.9 	2 	* 	2 	* 	53 	10.8 	

Warren	 	0.0 	1 	* 	 	0.0 	 	0.0 	1 	* 	1 	* 	1 	* 	 	0.0 	2 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	8 	7.5 	

Washington	1 	* 	2 	* 	 	0.0 	4 	* 	2 	* 	 	0.0 	1 	* 	3 	* 	1 	* 	 	0.0 	2 	* 	2 	* 	2 	* 	 	0.0 	1 	* 	2 	* 	2 	* 	3 	* 	28 	7.4 	

Wayne	1 	* 	 	0.0 	 	0.0 	3 	* 	8 	28.7 	2 	* 	6 	21.0 	3 	* 	6 	20.4 	7 	23.3 	6 	20.0 	6 	19.9 	8 	26.4 	6 	19.8 	7 	23.3 	5 	16.7 	7 	23.7 	7 	23.3 	88 	16.9 	

