Deaths  by Residence, All Opioids
		1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	Selected Years Total
Jefferson	 	 	 	 	 	 	 	1 	1 	 	2 	1 	 	 	1 	1 	 	 	7 	

Jenkins	 	 	 	1 	 	 	1 	1 	 	1 	 	 	1 	 	 	 	 	1 	6 	

Johnson	 	 	1 	 	 	1 	1 	 	 	 	 	1 	 	 	 	2 	1 	 	7 	

Jones	 	1 	1 	5 	1 	2 	1 	1 	2 	 	2 	 	3 	2 	1 	2 	3 	3 	30 	

Lamar	1 	 	1 	 	 	1 	2 	2 	1 	1 	1 	2 	1 	 	1 	 	4 	2 	20 	

Lanier	 	 	 	 	 	 	 	 	 	 	 	2 	 	 	1 	 	 	 	3 	

Lee	 	 	 	1 	1 	3 	1 	 	2 	2 	3 	2 	 	3 	2 	1 	3 	1 	25 	

Lincoln	 	 	 	 	1 	 	 	 	 	 	1 	1 	1 	 	 	 	 	1 	5 	

Long	 	 	 	 	 	 	 	 	 	1 	2 	 	 	 	 	2 	1 	1 	7 	

Lumpkin	 	1 	1 	1 	 	 	2 	 	3 	 	5 	3 	3 	1 	6 	3 	2 	3 	34 	

McDuffie	1 	 	 	 	 	1 	 	 	1 	 	1 	 	 	2 	1 	 	 	 	7 	

McIntosh	 	 	 	 	 	 	1 	1 	1 	 	1 	1 	 	1 	 	2 	1 	1 	10 	

Macon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Madison	 	1 	3 	2 	3 	2 	2 	2 	1 	 	5 	3 	4 	3 	7 	8 	3 	3 	52 	

Marion	 	 	 	 	 	 	 	 	1 	 	 	1 	 	 	1 	1 	 	1 	5 	

Meriwether	 	 	 	1 	1 	 	1 	1 	2 	3 	 	2 	1 	4 	2 	4 	2 	 	24 	

Miller	 	 	 	 	 	 	 	1 	 	 	 	1 	 	1 	 	 	 	 	3 	

Mitchell	 	 	 	 	 	2 	1 	 	1 	 	1 	2 	 	 	2 	2 	2 	 	13 	

Monroe	 	1 	2 	 	2 	 	1 	2 	 	1 	 	1 	1 	2 	2 	3 	1 	1 	20 	

Montgomery	 	 	 	 	 	 	 	 	1 	 	 	 	1 	1 	 	1 	 	 	4 	

Morgan	 	 	 	 	 	 	 	2 	 	 	1 	1 	2 	1 	1 	3 	1 	 	12 	

Oconee	 	 	 	 	1 	1 	 	1 	 	1 	1 	2 	6 	1 	3 	2 	2 	 	21 	

Oglethorpe	 	 	 	 	 	 	 	 	3 	1 	 	 	2 	2 	 	2 	3 	 	13 	

Peach	 	 	1 	 	 	1 	 	 	 	2 	1 	 	2 	 	2 	 	2 	1 	12 	

Pickens	 	1 	1 	1 	 	 	1 	 	2 	3 	3 	8 	2 	3 	3 	3 	1 	4 	36 	

Pierce	 	1 	 	1 	 	 	2 	 	1 	 	3 	1 	1 	1 	2 	3 	1 	3 	20 	

Pike	2 	1 	 	 	 	 	 	 	1 	 	 	1 	1 	 	 	1 	 	1 	8 	

Pulaski	 	 	 	 	1 	 	 	 	1 	 	 	 	1 	 	 	 	 	3 	6 	

Putnam	 	 	 	1 	1 	1 	1 	 	 	 	2 	1 	2 	3 	5 	2 	2 	1 	22 	

Quitman	 	 	 	 	 	 	1 	1 	 	 	 	 	 	 	 	 	 	 	2 	

Rabun	 	 	 	2 	1 	2 	 	1 	3 	 	3 	2 	1 	 	2 	3 	 	1 	21 	

Randolph	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Schley	 	 	 	 	1 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	

Screven	 	 	 	 	 	 	 	1 	 	 	 	2 	 	 	 	 	 	 	3 	

Seminole	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	1 	 	 	3 	

Stephens	 	 	2 	 	1 	1 	1 	1 	 	3 	5 	3 	4 	7 	2 	5 	4 	2 	41 	

Stewart	 	 	1 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	2 	

Sumter	 	 	 	 	 	1 	1 	 	 	 	 	1 	 	2 	 	2 	1 	 	8 	

Talbot	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	 	 	 	1 	

Taliaferro	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Tattnall	1 	 	 	1 	1 	1 	1 	 	1 	1 	1 	3 	3 	 	1 	2 	4 	1 	22 	

Taylor	 	1 	 	 	 	 	 	 	 	 	 	 	1 	 	2 	2 	 	1 	7 	

Telfair	 	 	 	 	 	 	 	1 	 	1 	1 	2 	1 	 	2 	1 	 	1 	10 	

Terrell	 	 	 	 	 	 	1 	 	 	 	 	 	 	 	 	 	 	 	1 	

Toombs	 	 	 	 	 	 	 	2 	 	1 	2 	4 	2 	1 	 	4 	3 	1 	20 	

Towns	 	1 	 	 	 	 	1 	 	2 	1 	4 	1 	3 	1 	2 	1 	1 	2 	20 	

Treutlen	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Turner	 	 	 	 	 	 	 	 	1 	 	 	 	 	 	 	1 	 	1 	3 	

Twiggs	 	 	 	 	1 	 	 	 	 	 	 	1 	 	 	1 	 	 	2 	5 	

Union	 	 	1 	1 	 	1 	 	2 	1 	2 	 	1 	2 	1 	3 	1 	3 	3 	22 	

Upson	 	 	1 	 	1 	1 	 	 	1 	2 	2 	3 	2 	3 	3 	6 	2 	2 	29 	

Warren	 	1 	 	 	 	1 	 	 	1 	 	 	 	 	1 	 	 	 	 	4 	

Washington	1 	 	 	 	2 	 	1 	 	 	 	 	1 	 	 	1 	2 	2 	2 	12 	

Wayne	 	 	 	3 	6 	1 	4 	3 	2 	5 	3 	4 	6 	3 	7 	4 	7 	5 	63 	

Webster	 	1 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	2 	

Wheeler	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	

White	 	 	 	 	2 	4 	2 	 	2 	 	1 	5 	5 	4 	5 	5 	4 	5 	44 	

Wilcox	 	 	 	 	 	 	1 	 	 	1 	1 	1 	 	 	 	 	1 	1 	6 	

Wilkes	 	 	 	 	 	 	 	 	 	1 	1 	 	 	1 	 	1 	 	 	4 	

Wilkinson	 	 	1 	2 	 	 	 	1 	 	 	 	 	 	 	 	 	1 	 	5 	

Worth	 	 	 	1 	1 	 	 	1 	 	 	 	 	 	 	1 	2 	1 	2 	9 	

Baldwin	 	 	 	1 	 	1 	1 	1 	 	2 	2 	1 	1 	 	1 	2 	 	 	13 	

Barrow	1 	1 	3 	2 	3 	 	3 	6 	7 	11 	7 	8 	6 	3 	4 	6 	3 	10 	84 	

Bartow	1 	1 	3 	2 	1 	4 	3 	3 	1 	9 	8 	14 	11 	12 	6 	11 	12 	16 	118 	

Bibb	3 	3 	5 	7 	4 	5 	5 	1 	5 	3 	3 	5 	10 	6 	6 	11 	7 	9 	98 	

Bulloch	 	 	 	 	3 	 	3 	1 	2 	3 	2 	5 	2 	4 	3 	2 	2 	3 	35 	

Camden	 	 	 	3 	 	 	3 	1 	 	1 	5 	3 	7 	5 	4 	1 	5 	4 	42 	

Carroll	 	1 	3 	6 	6 	11 	8 	7 	15 	22 	20 	16 	17 	14 	10 	16 	15 	22 	209 	

Catoosa	 	1 	 	1 	6 	4 	 	1 	 	6 	8 	7 	6 	14 	5 	9 	5 	12 	85 	

Chatham	5 	4 	14 	7 	 	6 	2 	5 	10 	7 	13 	14 	13 	16 	21 	15 	22 	22 	196 	

Cherokee	2 	2 	3 	5 	5 	3 	10 	9 	14 	10 	18 	17 	16 	17 	20 	25 	45 	34 	255 	

Clarke	 	1 	 	 	3 	3 	3 	5 	3 	6 	4 	3 	12 	8 	6 	10 	8 	14 	89 	

Clayton	4 	6 	8 	14 	9 	7 	10 	6 	12 	11 	18 	20 	17 	23 	15 	17 	25 	21 	243 	

Cobb	18 	23 	19 	22 	10 	15 	11 	6 	6 	18 	20 	13 	12 	21 	12 	54 	88 	108 	476 	

Coffee	1 	 	2 	 	 	 	2 	 	4 	1 	3 	5 	7 	3 	2 	5 	2 	6 	43 	

Colquitt	 	1 	1 	1 	 	 	1 	 	 	1 	2 	2 	5 	 	3 	2 	2 	 	21 	

Columbia	1 	1 	3 	 	1 	1 	1 	2 	 	2 	4 	9 	5 	2 	8 	11 	14 	17 	82 	

Coweta	1 	 	 	1 	2 	11 	9 	3 	4 	8 	11 	6 	11 	12 	6 	11 	8 	15 	119 	

DeKalb	10 	8 	19 	20 	18 	10 	12 	16 	25 	25 	25 	24 	35 	43 	22 	38 	58 	54 	462 	

Dougherty	3 	1 	2 	1 	1 	 	2 	1 	3 	7 	7 	 	3 	7 	4 	1 	2 	5 	50 	

Douglas	 	4 	4 	5 	2 	3 	3 	2 	4 	5 	4 	9 	7 	9 	5 	19 	15 	27 	127 	

Effingham	 	 	3 	1 	1 	1 	1 	1 	2 	1 	2 	5 	3 	3 	6 	2 	2 	5 	39 	

Fayette	1 	1 	1 	2 	3 	2 	5 	2 	4 	4 	9 	7 	9 	4 	4 	12 	14 	6 	90 	

Floyd	 	4 	4 	4 	2 	3 	7 	 	8 	8 	3 	13 	11 	11 	13 	6 	9 	10 	116 	

Forsyth	3 	1 	2 	5 	 	2 	4 	5 	12 	10 	9 	14 	21 	15 	22 	24 	28 	13 	190 	

Fulton	32 	38 	62 	33 	58 	44 	50 	41 	50 	70 	48 	53 	60 	60 	71 	96 	108 	130 	1,104 	

Glynn	2 	1 	1 	1 	 	1 	 	2 	5 	4 	4 	 	2 	5 	8 	4 	4 	6 	50 	

Gordon	2 	3 	1 	2 	2 	1 	1 	 	2 	3 	6 	3 	10 	5 	5 	4 	1 	7 	58 	

Gwinnett	5 	10 	17 	15 	14 	15 	16 	17 	25 	28 	29 	47 	31 	38 	57 	49 	75 	61 	549 	

Habersham	1 	 	 	 	2 	1 	3 	 	4 	3 	6 	6 	 	6 	3 	1 	1 	5 	42 	

Hall	1 	1 	2 	6 	5 	8 	4 	9 	8 	7 	14 	11 	9 	10 	8 	11 	12 	12 	138 	

Henry	1 	2 	4 	2 	4 	4 	4 	8 	4 	9 	17 	7 	17 	11 	9 	14 	17 	25 	159 	

Houston	 	2 	 	2 	3 	 	 	1 	2 	2 	4 	5 	4 	2 	3 	4 	4 	5 	43 	

Jackson	 	1 	3 	3 	5 	7 	2 	1 	6 	7 	11 	10 	8 	9 	8 	6 	16 	7 	110 	

Laurens	 	 	1 	 	4 	 	1 	 	4 	4 	1 	3 	5 	2 	1 	4 	2 	3 	35 	

Liberty	 	1 	1 	 	 	2 	2 	1 	2 	2 	3 	2 	1 	4 	5 	3 	3 	4 	36 	

Lowndes	1 	1 	2 	 	 	1 	2 	1 	 	2 	2 	4 	6 	5 	2 	1 	2 	5 	37 	

Murray	 	2 	3 	1 	 	 	3 	2 	4 	6 	5 	3 	13 	2 	3 	6 	6 	3 	62 	

Muscogee	 	2 	1 	4 	7 	2 	2 	1 	2 	4 	11 	15 	12 	13 	8 	18 	9 	10 	121 	

Newton	 	 	3 	2 	2 	4 	4 	3 	4 	1 	8 	5 	9 	6 	9 	5 	6 	7 	78 	

Paulding	1 	1 	1 	3 	5 	6 	5 	10 	8 	13 	15 	22 	19 	17 	12 	33 	23 	25 	219 	

Polk	1 	 	 	1 	 	3 	1 	1 	2 	2 	 	6 	5 	4 	4 	4 	2 	4 	40 	

Richmond	1 	1 	 	7 	8 	3 	4 	3 	7 	8 	10 	16 	5 	7 	3 	17 	28 	34 	162 	

Rockdale	1 	1 	1 	1 	5 	2 	2 	1 	1 	4 	3 	1 	3 	7 	5 	5 	6 	9 	58 	

Spalding	 	 	4 	 	2 	7 	1 	4 	5 	6 	8 	5 	5 	12 	4 	4 	9 	8 	84 	

Thomas	 	 	1 	 	 	1 	 	 	 	 	2 	 	 	1 	1 	 	1 	3 	10 	

Tift	 	 	 	 	 	 	 	 	 	 	 	1 	1 	 	 	1 	3 	2 	8 	

Troup	 	1 	 	2 	1 	4 	 	2 	3 	1 	4 	5 	9 	5 	4 	11 	8 	6 	66 	

Walker	 	 	 	3 	4 	4 	8 	 	4 	4 	4 	6 	8 	7 	7 	8 	4 	10 	81 	

Walton	 	 	3 	1 	3 	3 	3 	1 	2 	6 	1 	8 	4 	12 	13 	11 	16 	12 	99 	

Ware	 	 	1 	1 	 	2 	2 	2 	 	4 	7 	1 	4 	1 	2 	13 	3 	1 	44 	

Whitfield	 	 	2 	3 	1 	8 	2 	 	3 	12 	7 	8 	10 	9 	7 	3 	9 	5 	89 	

County Summary	112 	155 	243 	246 	265 	277 	294 	242 	380 	467 	554 	600 	622 	633 	606 	795 	900 	982 	8,373 	
Copyright © 2003-2017 Version:1.1 Georgia Department of Public Health, Office of Health Indicators for Planning, all rights reserved. Contact us - ohip@dhr.state.ga.us
